Company,Domain,Website,City,State,Trade,Revenue,Employees,Industry,Lifecycle Status,Qualification Decision,Qualification Reason,Fit Score,First Seen,Last Reviewed,Next Review,Approved At,HubSpot Company ID,Sequence Status,Meeting Status,Customer Status,Source Profile,Notes
1st Choice Plumbing,njplumbingchoice.com,www.njplumbingchoice.com,Lodi,New Jersey,Plumbing,39716000,184,,Rejected,REJECT,State outside target geography: New Jersey,0.0,2026-07-13T21:50:35.870860+00:00,2026-07-13T21:50:35.870860+00:00,2027-01-09T21:50:35.870876+00:00,,,,,,Default,
20/20 Plumbing & Heating,2020ph.com,www.2020ph.com,Riverside,California,Plumbing,317686000,900,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54113101999; source all-companies.csv).,0.0,2026-07-13T21:38:49.589647+00:00,2026-07-13T21:38:49.589647+00:00,,,,,,,Default,
3S Services,3sservices.com,www.3sservices.com,Carrizo Springs,Texas,Electrical,70978000,250,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals,86.0,2026-07-13T21:56:41.266113+00:00,2026-07-13T21:56:41.266113+00:00,,,,,,,Default,
5 Points Electrical,5pointselectrical.com,www.5pointselectrical.com,Norcross,Georgia,Electrical,70018000,110,,Rejected,REJECT,State outside target geography: Georgia,0.0,2026-07-13T21:57:26.838035+00:00,2026-07-13T21:57:26.838035+00:00,2027-01-09T21:57:26.838049+00:00,,,,,,Default,
A-C Electric,a-celectric.com,www.a-celectric.com,Bakersfield,California,Electrical,232001000,300,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39366474542; source all-companies.csv).,0.0,2026-07-13T21:52:06.488087+00:00,2026-07-13T21:52:06.488087+00:00,,,,,,,Default,
A.B. May,abmay.com,www.abmay.com,Kansas City,Missouri,Plumbing,56766000,272,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55013787511; source all-companies.csv).,0.0,2026-07-13T21:46:27.235782+00:00,2026-07-13T21:46:27.235782+00:00,,,,,,,Default,
A.J. Perri,ajperri.com,www.ajperri.com,Tinton Falls,New Jersey,Plumbing,58671000,278,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54043051686; source all-companies.csv).,0.0,2026-07-13T21:46:18.174536+00:00,2026-07-13T21:46:18.174536+00:00,,,,,,,Default,
AAA AUGER Plumbing Services,aaa-auger.com,www.aaa-auger.com,San Antonio,Texas,Plumbing,89113000,83,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 56566253896; source all-companies.csv).,0.0,2026-07-13T21:42:17.526488+00:00,2026-07-13T21:42:17.526488+00:00,,,,,,,Default,
ABC Home & Commercial Services,abchomeandcommercial.com,www.abchomeandcommercial.com,Austin,Texas,Pest Control,219360000,948,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals,86.0,2026-07-13T21:59:08.034004+00:00,2026-07-13T21:59:08.034004+00:00,,,,,,,Default,
ACC Plumbing,accplumbing.com,www.accplumbing.com,Henderson,Nevada,Plumbing,68545000,300,,Rejected,REJECT,official-site residential home-service evidence | revenue $25M+ | target employee scale | excluded business-model evidence,28.0,2026-07-13T21:43:40.124825+00:00,2026-07-13T21:43:40.124825+00:00,2027-01-09T21:43:40.124839+00:00,,,,,,Default,
ACE Home Services,acehomeaz.com,www.acehomeaz.com,Phoenix,Arizona,Plumbing,107911000,483,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | target employee scale | visible marketing maturity,85.0,2026-07-13T21:41:10.563568+00:00,2026-07-13T21:41:10.563568+00:00,,,,,,,Default,
APEX Plumbing,apexplumbing.com,www.apexplumbing.com,Arvada,Colorado,Plumbing,54105000,85,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39371629347; source all-companies.csv).,0.0,2026-07-13T21:46:39.329637+00:00,2026-07-13T21:46:39.329637+00:00,,,,,,,Default,
APG Electric,apg.company,apg.company,Clearwater,Florida,Electrical,155627000,394,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T21:53:26.620500+00:00,2026-07-13T21:53:26.620500+00:00,2027-01-09T21:53:26.620514+00:00,,,,,,Default,
APIC Solutions,apicmsi.com,www.apicmsi.com,Albuquerque,New Mexico,Electrical,85295000,134,,Rejected,REJECT,revenue $25M+ | target employee scale,28.0,2026-07-13T21:54:50.991590+00:00,2026-07-13T21:54:50.991590+00:00,2027-01-09T21:54:50.991605+00:00,,,,,,Default,
ATKINS,atkinsinc.com,www.atkinsinc.com,Columbia,Missouri,Pest Control,230796000,500,,Rejected,REJECT,State outside target geography: Missouri,0.0,2026-07-13T21:58:52.529796+00:00,2026-07-13T21:58:52.529796+00:00,2027-01-09T21:58:52.529810+00:00,,,,,,Default,
